order_id,customer_id,product_id,order_date,quantity,discount,payment_method,status
ORD000001,CUST0037,PROD0028,2024-12-22,5,0.2,Net Banking,Shipped
ORD000002,CUST0025,PROD0019,2024-04-21,1,0.17,Cash on Delivery,Completed
ORD000003,CUST0096,PROD0021,2024-01-30,1,0.18,Cash on Delivery,Shipped
ORD000004,CUST0008,PROD0033,2024-02-11,2,0.02,UPI,Shipped
ORD000005,CUST0052,PROD0008,2024-10-18,2,0.17,UPI,Completed
ORD000006,CUST0054,PROD0043,2024-10-25,5,0.16,Debit Card,Shipped
ORD000007,CUST0086,PROD0046,2024-06-09,2,0.08,Credit Card,Pending
ORD000008,CUST0059,PROD0021,2024-02-07,1,0.14,Cash on Delivery,Completed
ORD000009,CUST0010,PROD0035,2024-04-19,5,0.08,Debit Card,Completed
ORD000010,CUST0032,PROD0024,2024-05-25,2,0.13,Cash on Delivery,Pending
ORD000011,CUST0079,PROD0042,2024-09-27,1,0.2,Cash on Delivery,Pending
ORD000012,CUST0085,PROD0007,2024-03-09,3,0.03,UPI,Shipped
ORD000013,CUST0035,PROD0019,2024-11-05,2,0.22,Credit Card,Pending
ORD000014,CUST0065,PROD0032,2024-05-08,1,0.03,Net Banking,Pending
ORD000015,CUST0006,PROD0001,2024-06-19,2,0.19,Debit Card,Shipped
ORD000016,CUST0095,PROD0029,2024-10-09,4,0.17,UPI,Completed
ORD000017,CUST0089,PROD0010,2024-10-06,1,0.25,Cash on Delivery,Shipped
ORD000018,CUST0056,PROD0009,2024-01-22,3,0.11,UPI,Pending
ORD000019,CUST0027,PROD0044,2024-05-07,1,0.11,Cash on Delivery,Cancelled
ORD000020,CUST0080,PROD0048,2024-03-20,2,0.26,Credit Card,Cancelled
